,Company,Location,Salary,Synopsis,Title,analysis_yn,models_yn,software_yn,sales_yn,security_yn,marketing_yn,experience_yn
44,Human Capital Solutions,Karachi,None,"Give hand over to next shift engineer with proper updates (routing, testing & provisioning summary) and inform on groups as well.",Required Data NOC Engineer,0,0,0,0,0,0,0
46,Afiniti,Karachi,None,Familiarity with ad hoc data analyses – SQL is a must and knowledge of R/Python/Scala data frames is preferable.Automating routine tasks via scripts.,Data Engineer,0,0,0,0,0,0,0
47,4B GENTEL INTERNATIONAL (PVT) LTD,Karachi,None,"Design, proof of concept and implementation of data communications infrastructure/security projects.Network security design, configuration, installation and…",Network Security Engineer,0,0,0,0,1,0,0
48,KMNR Engineering,Karachi,None,"Engineers will work on problems of diverse scope where analysis of data requires evaluation of identifiable factors in power distribution systems, lighting…",Electrical Engineer (Degree Holder),0,0,0,0,0,0,0
50,Infomatrix,Karachi,None,"We are looking for a Business Intelligence Data Science Engineer who, along with our excellent software development team, will be responsible for working on…",Software Engineer (Business Intelligence),1,0,0,0,0,0,0
51,GfK,Karachi,None,"Ensure continuous data collection by investigating and solving issues with existing crawlers.We connect data, science and innovative digital research solutions…",Web Data Farming Engineer,0,0,0,0,0,0,0
52,Cobblestone Energy,Karachi,None,"Junior Trader / Analyst - Commercial Development Programme - Dubai, UAE.We make use of advanced data analytics and extensive research to drive profitable…","JUNIOR TRADER / ANALYST - Dubai, UAE",1,0,0,0,0,0,0
53,Ranipur Sugar Mills,Karachi,"Rs 30,000 - Rs 50,000 a month","Our team is looking to for a new addition, who will be a research analyst with the following job requirements:",Research Analyst,1,0,0,0,0,0,0
54,Click9 Pakistan,Karachi,None,"Extraction and cleaning of data from specific source to ensure the data, as per requirement.Identification and rectification of any error in data activity.",Data Analyst,0,0,0,0,0,0,0
56,Jagah Online,Karachi,None,Convert raw data into meaningful and understandable Dashboards by using dierent data cleaning tools.Analyzing reports and compare the data as per KPIs of each…,Business Intelligence / Data Analyst,1,0,0,0,0,0,0
57,UBL Direct,Karachi,None,Proficient in MS Excel & data analytics • Ability to interact with diverse set of clients as well as adaptability to change • Impeccable understanding of…,Credit Analyst,0,0,0,0,0,0,0
58,Streetware Systems (Pvt) Ltd.,Karachi,None,"Our client is Aurbach Grayson & Goldman Sachs (GS), Responsible for day to day, Preparing Financial Statment on SavaNet and (publish) provide to our Client and…",Assistant Accountant (Data Analyst),0,0,0,0,0,0,0
59,Afiniti,Karachi,None,Ensure data integrity on review of historical data.Define data validation reports to be shared with stakeholders.The ideal candidate will have.,Business Reporting - Data Analyst / Business Analyst,1,0,0,0,0,0,0
60,The Aman Foundation,Karachi,None,"Conducting research and analyzing data;To contribute to the achievement of the organization’s sustainability objectives through strategic planning, delivery…",Strategy & Business Development Analyst,0,0,0,0,0,0,0
61,Afiniti,Karachi,None,Answering Global Reception calls and data entry of call logs.The SD Analyst will be considered as the first level support technician.,IT Service Desk,1,0,0,0,0,0,0
62,Bahria Enterprise Systems & Technologies (BEST),Karachi,None,Field Experience in Geographical Information System and Remote Sensing mapping with requisite tools and data management.,GIS Analyst,0,0,0,0,0,0,1
63,Imtiaz Super Market,Karachi,None,MBA in Supply chain or Marketing with 2 to 3 years of experience in data analysis of complex data.Imtiaz Super Market is hiring for the following role for its…,Commercial Analyst,1,0,0,0,0,1,1
64,Afiniti,Karachi,None,The External Data Analyst will support the global data engineering and AI teams by performing the following:Work with Afiniti Data Engineering and AI teams to…,External Data Analyst,1,0,0,0,0,0,0
65,BariTechSol,Karachi,None,"Monitor, manage and communicate with Business Analyst on defects.Communicate with Business Analyst on the requirements and keeping them up to speed on the…",Software Quality Assurance Engineer,1,0,0,0,0,0,0
66,"AKU Planning and Budgeting, Finance, Aga Khan Univ...",Karachi,None,"Refine processes for efficient monitoring of budgetary and actual financial/ statistical data.You will be responsible for providing support in planning,…","Analyst, Planning & Budgeting (Finance)",0,0,0,0,0,0,0
67,Squarehouse,Karachi,"Rs 50,000 - Rs 75,000 a month","Works with multi-functional business units to understand and document project objectives, scope, requirements, milestone, deliverable, schedule and cost…",Business Analyst,0,0,0,0,0,0,0
68,Nexus Corporation,Karachi,"Rs 90,000 a month",A minimum of 5 years’ experience as a business analyst.Ensuring solutions meet business needs and requirements.Managing competing resources and priorities.,Business Analyst,1,0,0,0,0,0,1
69,Code Avenue,Karachi,"Rs 40,000 - Rs 60,000 a month","Required to create business proposals, gantt chart, user stories, functional and design specification documents etc.Team player and good interpersonal skills.",Business Analyst/PM,0,0,0,0,0,0,0
70,Technado (Pvt) Ltd,Karachi,"Rs 40,000 - Rs 60,000 a month","Business Analyst in IT / Tech Industry:Creating a detailed business analysis, outlining problems, opportunities and solutions for a business.",Business Analyst,1,0,0,0,0,0,0
71,The Aman Foundation,Karachi,None,"To contribute to the achievement of the organization’s sustainability objectives through strategic planning, delivery and evaluation of existing and future…",Strategy & Business Development Analyst,0,0,0,0,0,0,0
72,Cloud Peanuts,Karachi,None,"We are currently looking for a creative and talented Internee Business Research Analyst.Write/analyze business plans, financial projections, and risk factors.",Business Research Analyst - Internship,1,0,0,0,0,0,0
73,PNC Solutions,Karachi,None,"Proven track record as a Business Analyst or similar role, prior 2 to 3 years of experience, especially in Software/Web/Mobile Application will be considered.",Business Analyst,1,0,0,0,0,0,1
74,Appedology PVT Ltd.,Karachi,"Rs 30,000 - Rs 60,000 a month","Appedology is looking for a Business Analyst.Translate the business needs into technical requirements.Scope process, create, document and modify business…",Business Analyst - Night Shift,1,0,0,0,0,0,0
75,Bari's Technology Solution,Karachi,None,We are looking for competent and highly motivated individuals to fill out the Business Analyst position at our Software firm.Fast Learner with high bandwidth.,Business Analyst,1,0,0,0,0,0,0
76,Cobblestone Energy,Karachi,None,"Junior Trader / Analyst - Commercial Development Programme - Dubai, UAE.Technology and risk management form the backbone of our business.","JUNIOR TRADER / ANALYST - Dubai, UAE",1,0,0,0,0,0,0
77,Ignite Solutions,Karachi,None,"Analyze clients' existing systems and business models.Business Requirement Document (BRD), User Interface Design Documents, Software.",Business Analyst,0,1,0,0,0,0,0
78,Jagah Online,Karachi,None,"Responsible to create a detailed business analysis for HA, outlining problems, opportunities and solutions for a business.",Business Intelligence / Data Analyst,0,0,0,0,0,0,0
79,Kingdom Vision,Karachi,None,"O Expertise in creating proposals, Scope of work document, SRS, Technical Reports, Project Documentation, Features Explanation.",Business Analyst,1,0,0,0,0,0,0
80,National Clearing Company of Pakistan Ltd. (NCCPL),Karachi,None,"Require Business Analyst in our Information Technology Department at our Karachi Office.Bachelor’s degree in Computer Science, or an equivalent At least 3…",Business Analyst,1,0,0,0,0,0,0
81,BariTechSol,Karachi,None,We are looking for competent and highly motivated individuals to fill out the Business Analyst position at our Software firm.,Business Analyst,1,0,0,0,0,0,0
82,Peshawar Medical College,Peshawar,None,IT supervisor will work with a team of information technology administrators and support personnel to oversee the day-to-day operations of information…,IT Supervisor,0,0,0,0,0,0,0
83,Governance & Policy Project,Peshawar,None,3 years of direct experience with Data Management and Data Science.Acquire data from primary or secondary data sources and maintain databases/data systems.,Data Analyst/Data Scientist,0,0,0,0,0,0,1
84,WeSer,Peshawar,"Rs 10,000 - Rs 15,000 a month",Communicate with sites regarding data which has inconsistencies.Keeps data on server and on various software organized.,Trainee Optometrist,0,0,0,0,0,0,0
85,DataMining,Peshawar,"Rs 10,000 - Rs 15,000 a month",Communicate with sites regarding data which has inconsistencies.Keeps data on server and on various software organized.,Trainee Optometrist,0,0,0,0,0,0,0
86,Pixtrum,Peshawar,None,Work with data scientists and analysts to improve software.Create security and data protection settings.Work with development teams and product managers to…,Full Stack Developer,1,1,0,0,1,0,0
87,People for UNDP,Peshawar,None,"Public Health Engineer (Senior Technical Advisor).Any kind of diversity based on ethnicity, age, sexual orientation, disability, religion, class, gender is…",Public Health Engineer (Closing Date: 09.09.20),0,0,0,0,0,0,0
88,People for UNDP,Peshawar,None,"Public Health Engineer (Senior Associate).Any kind of diversity based on ethnicity, age, sexual orientation, disability, religion, class, gender is respected…",Public Health (Civil) Engineer (Closing Date: 09.09.20),0,0,0,0,0,0,0
89,People for UNDP,Peshawar,None,In this regard the pool of civil engineers will:Civil Engineers will be required in each district to expedite implementation of development schemes selected by…,Associate: Civil Engineer (Closing Date: 09.09.20),0,0,0,0,0,0,0
90,People for UNDP,Peshawar,None,"Review cost estimates submitted by engineers;Any kind of diversity based on ethnicity, age, sexual orientation, disability, religion, class, gender is…",Analyst: QLD Manager/Field Officer (Closing Date: 09.09.20),0,0,0,0,0,0,0
91,Governance & Policy Project,Peshawar,None,"Data analysts will develop analysis and reporting capabilities.The Data Analyst will turn data into information, information into insight and insight into…",Data Analyst/Data Scientist,1,0,0,0,0,0,0
92,Cobblestone Energy,Peshawar,None,"Junior Trader / Analyst - Commercial Development Programme - Dubai, UAE.We make use of advanced data analytics and extensive research to drive profitable…","JUNIOR TRADER / ANALYST - Dubai, UAE",1,0,0,0,0,0,0
93,People for UNDP,Peshawar,None,The analyst must be an expert in delivery units;In this regard the pool of Planning and Budgeting Analysts will be deployed in their respective Deputy…,Planning and Budgeting Analyst (Closing Date: 09.09.20),1,0,0,0,0,0,0
94,People for UNDP,Peshawar,None,"Any kind of diversity based on ethnicity, age, sexual orientation, disability, religion, class, gender is respected within all implementations including data…",Analyst: QLD Manager/Field Officer (Closing Date: 09.09.20),0,0,0,0,0,0,0
96,Cobblestone Energy,Peshawar,None,"Junior Trader / Analyst - Commercial Development Programme - Dubai, UAE.Technology and risk management form the backbone of our business.","JUNIOR TRADER / ANALYST - Dubai, UAE",1,0,0,0,0,0,0
97,Governance & Policy Project,Peshawar,None,"The Data Analyst will turn data into information, information into insight and insight into business decisions.Dashboard designing using BI tools.",Data Analyst/Data Scientist,1,0,0,0,0,0,0
98,Naafay IT Consultants,Peshawar,None,"Communicate with a team of developers, Business Analyst, project managers, and other personnel to ship new features.",Android Developer,1,0,0,0,0,0,0
99,Balqees Welfare Foundaton,Islamabad,"Rs 70,000 a month","We are seeking a Project Administrator;Collecting and collating data for evaluation, monitoring and reporting to trustees.",Project Administrator,1,0,0,0,0,0,0
100,Cabcall Outsource SMC Pvt Ltd.,Islamabad,None,"Intrusion detection systems) and data backup/recovery.Network Administrator to maintain, upgrade, and manage our network, software & hardware.",Senior Network Administrator,0,0,0,0,0,0,0
101,Millegaa LLP,Rawalpindi,None,"Develop and administer policies and procedures for accessing and using networks, backing up data and recovering lost data.",Assistant Data Administrator,0,0,0,0,0,0,0
102,Essentia Technologies (Pvt) Ltd,Islamabad,"Rs 30,000 a month",Sound previous generalist experience of HR administration and collation of data for payroll.We are looking for an HR Administrator to join our team and support…,HR Administrator,0,0,0,0,0,0,1
103,KidsU Canada,Islamabad,"Rs 40,000 - Rs 45,000 a month","Setup each employee profile, ensure valid data transfers to pay web.Strong and accurate data input, excellent accounting and book-keeping skills.",Payroll Administrator,0,0,0,0,0,0,0
104,OPM Pakistan,Islamabad,None,"Establish and maintain project data on all company platforms (file structures, document control, project pages and archives).Education to a degree level.",Project Administrator,0,0,0,0,0,0,0
105,Solved Engineering Inc.,Islamabad,"Rs 30,000 - Rs 50,000 a month",Technical support and guidance to users and other administrators.The Linux Administrator will be responsible for maintaining our current systems and keeping…,Linux Administrator,0,0,0,0,0,0,0
106,Wiseman Innovations,Islamabad,None,"Ability to produce all types of software documentation i.e. Technical Administrator Guides, User Manuals, Blogs, Whitepaper, FAQs, etc.",Sr. Technical Writer,0,0,0,0,0,0,0
107,Knowledge Platform,Islamabad,None,"Expertise with creating maintaining data Lakes.(Big Plus) Experience in Apache / Azure Frameworks for Big Data.Experience resolving locking, dead lock issues.",Database Administrator,0,0,0,0,0,0,1
108,Tile Mountain / CreteSol,Islamabad,None,"Serve as the administrator of server hardware and operating systems;Monitor, report, and resolve system problems propose policies and procedures relating to…",Linux Expert,1,0,0,0,0,0,0
109,Quantum Skye Technologies,Rawalpindi,None,"Implementation of security and data protection.Design and implementation of data storage solutions.Liaise with developers, designers and system administrators…",React Native Developer,0,0,0,0,1,0,0
110,Hasnain Tanweer Associates (HTA),Islamabad,None,Able to understand Replication technologies and Data warehouse standards Dataguard etc.Executive IT – Database Administrator is required in Islamabad for a…,Executive IT – Database Administrator,0,0,0,0,0,0,0
111,Easy2Employ,Islamabad,None,Experience in handling relational and non-relational data sets.Experience in handling time-series and non-time-series data sets.,Database Developer,0,0,0,0,0,0,1
112,Hasnain Tanweer Associates (HTA),Islamabad,None,Senior Executive IT – System Administrator is required in Islamabad with a Leading Telecom Company.Kindly mention the job title Senior Executive IT – System…,Senior Executive IT – System Administrator,0,0,0,0,0,0,0
113,Bahria Enterprise Systems & Technologies (BEST),Islamabad,None,"Familiarity with Python libraries, NumPy, SciPy, pandas, Keras, Tensor Flow, scikit-learn.d.Utilizing Deep Learning techniques for advanced features engineering…",Data Scientist,0,0,0,0,0,0,0
114,TOP Agency,Islamabad,None,"If so, you might make a killer Data Scientist.Source publicly available data for developing internal reports and data programs for clients.",Data Scientist,1,1,0,0,0,0,0
115,Ciklum,Islamabad,None,"On behalf of Ciklum Digital, we are looking for a Data Scientist with Machine Learning Background to support Business processes using Data Science and Analytics…",Data Scientist,0,1,0,0,0,0,0
116,Career Pakistan,Islamabad,None,Experience as Data Scientist -- or similar role Note:Experience in Data Analytics/Quantitative Data Analysis OR Statistics/Statistical Softwares Years of…,Data Scientist,1,1,0,0,0,0,1
117,Veon,Islamabad,None,"Meet relevant stakeholders e.g. CVM, Technical, Pricing, Segments, Data Scientists, GR, FP&A, etc.Develop systems understanding of Jazz EDW, DMP (Big Data) and…",Data Engineer,0,1,0,0,0,0,0
118,Jazz Telecom,Islamabad,None,"Meet relevant stakeholders e.g. CVM, Technical, Pricing, Segments, Data Scientists, GR, FP&A, etc.Develop systems understanding of Jazz EDW, DMP (Big Data) and…",Data Engineer,0,1,0,0,0,0,0
119,iENGINEERING,Islamabad,None,Participate in database modeling and design from the perspective of an engineer user to ensure the engineering data are stored and accessed seamlessly while…,Transportation Data Analyst,0,0,0,0,0,0,0
120,VoicePlus Services,Islamabad,None,We are looking for a Business Analyst / Data Scientist who can produce valuable insights gained by analysing data from multiple streams.,Senior Business Analyst / Data Scientist,1,1,0,0,0,0,0
121,Jazz Telecom,Islamabad,None,"Meet relevant stakeholders from different team e.g. Pricing, DFS, Segments, Data Scientists, BI, CVM etc.Develop understanding of BI tools and data science…",Business Analyst,0,1,0,0,0,0,0
122,Veon,Islamabad,None,"Meet relevant stakeholders from different team e.g. Pricing, DFS, Segments, Data Scientists, BI, CVM etc.Develop understanding of BI tools and data science…",Business Analyst,0,1,0,0,0,0,0
123,Jazz Telecom,Islamabad,None,"Develop systems understanding of Jazz EDW, DMP (Big Data) and all integrated platforms within the Data Analytics & Insights eco-system.Within 30 days you will:",Data Engineer,0,0,0,0,0,0,0
124,Veon,Islamabad,None,"Develop systems understanding of Jazz EDW, DMP (Big Data) and all integrated platforms within the Data Analytics & Insights eco-system.Within 30 days you will:",Data Engineer,0,0,0,0,0,0,0
125,HRGS,Rawalpindi,None,Produce a wide range of specific data reports as required. Gather market intelligence on competitors such as compiling competitors’ data by distinguishing.,Sales and Marketing Engineer (BE Chemical or Mechanical) or...,1,0,0,0,0,0,0
126,ALTUMED (Cube Healthcare Systems Pvt Ltd),Islamabad,"Rs 75,000 a month","We, at AltuMed, are currently looking for a Software Engineer at our Islamabad Office.Experience OR knowledge of creating a modeling platforms using big data…",Jr. Software Engineer (AI Associate),0,0,1,0,0,0,1
127,PackageX,Islamabad,None,"We are looking for an experienced Network/System Engineer with exceptional troubleshooting skills, a passion for teamwork with can do attitude.",Network System Engineer,0,0,0,0,0,0,1
128,Bahria Enterprise Systems & Technologies (BEST),Islamabad,None,Experience in building production level software system preferably with Python and C++.b.Experience in architecting and building large scale batch processing…,Data Engineer,0,0,0,0,0,0,1
129,Quaid Technologies,Rawalpindi,"Rs 35,000 - Rs 60,000 a month",Quaid Technologies is looking for a QA Engineer.Analyze data to identify areas for improvement in the quality system.Knowledge of SQL and scripting.,QA Engineer,0,0,0,0,0,0,0
130,Broadpeak Technologies,Islamabad,None,Analyze instrumentation data to understand and resolve issues.3 year(s) or above experience.Design and develop applications as per the instructions provided…,Software Engineer,0,0,0,0,0,0,1
131,MTBC,Rawalpindi,None,Data warehouse and data modeling.As a data engineer you will be responsible to implement methods to improve data reliability and quality.,Healthcare Data Engineer,0,0,0,0,0,0,0
132,Ciklum,Islamabad,None,"Contributes design, code, configurations, and documentation for components that manage data ingestion, real time streaming, batch processing, data extraction,…",Data Engineer,0,0,0,0,0,0,0
133,Andpercent,Rawalpindi,None,"Data analytical, manipulation, investigation skills.Experience with querying data, Joins functions.Well-Versed with web servers (Apache, Nginx, Node).",Operation Engineer,0,0,0,0,0,0,1
134,Broadpeak Technologies,Islamabad,None,Lead and mentor junior engineers.Data Driver Model and Hybrid Model).8 year(s) or above experience.Work with business and the engineering teams to understand…,Sr. Automation Engineer,0,0,0,0,0,0,1
135,Broadpeak Technologies,Islamabad,None,Analyze instrumentation data to understand and resolve issues.4 year(s) or above experience.Analyze customer requirements to design and develop applications…,Senior Software Engineer,0,0,0,0,0,0,1
136,RYTHM Traders,Islamabad,None,"Maintains product data base by writing computer programs;Evaluates electrical systems, products, components, and applications by designing and conducting…",Electrical Engineer Intern,0,0,0,0,0,0,0
137,Ciklum,Islamabad,None,"At least 3-5 Years of Professional Experience as Data Scientist or Machine Learning Engineer.On behalf of Ciklum Digital, we are looking for a Data Scientist…",Data Scientist,0,1,0,0,0,0,1
138,Cobblestone Energy,Rawalpindi,None,"Junior Trader / Analyst - Commercial Development Programme - Dubai, UAE.We make use of advanced data analytics and extensive research to drive profitable…","JUNIOR TRADER / ANALYST - Dubai, UAE",1,0,0,0,0,0,0
139,Solved Engineering Inc.,Islamabad,"Rs 30,000 - Rs 40,000 a month","Plan, organize, control and evaluate IT and electronic data operations.Responding / preparing documents i.e. RFPs.Managing social media pages and content.",Document Drafter / Data Analyst,0,0,0,0,0,0,0
140,Tile Mountain / CreteSol,Islamabad,None,"MS Suite and have a proven background in data analysis.The successful candidate will have exceptional data analytical capability and able to export, manipulate…",Data Analyst,1,0,0,0,0,0,0
141,iENGINEERING,Islamabad,None,Transportation Data Analyst will be a core team player for the Applied Research Group.Participate in database modeling and design from the perspective of an…,Transportation Data Analyst,1,0,0,0,0,0,0
142,Jazz Telecom,Islamabad,None,"Develop understanding of BI tools and data science capabilities.Identify the reasons for various business problems (churn, data penetration, 4G growth etc.).",Business Analyst,0,0,0,0,0,0,0
143,Wiseman Innovations,Islamabad,None,"The Business Intelligence Analyst gathers data from multiple sources, analyzes data, and creates metrics to drive clinical and operational performance…",Business Intelligence Analyst,1,0,0,0,0,0,0
144,Veon,Islamabad,None,"Develop understanding of BI tools and data science capabilities.Identify the reasons for various business problems (churn, data penetration, 4G growth etc.).",Business Analyst,0,0,0,0,0,0,0
145,Zia Masood Kiani & Co. Chartered Accountants,Islamabad,None,"Set up a telephonic counseling service, integrated with the web portal to allow referral pathways, consolidate, and report data.",Mental Health Analyst,1,0,0,0,0,0,0
146,Alhazen Technologies,Islamabad,None,"Verify database and data integrity.Extensive knowledge of data processing, enterprise software applications, web development, and user support.",Systems Analyst,0,0,0,0,0,0,0
147,N7 Tech,Rawalpindi,"Rs 20,000 - Rs 45,000 a month",Skills in using internet for research and data mining or collecting data.A background in creating reports showing web analytics data and site evaluations.,Digital marketing- SEO Analyst,1,0,0,0,0,0,0
